Timestamp,Date,Funding Rate,APY (annualized)
1733716800103,2024-12-09T04:00:00.103Z,1.478812e-4,97.16
1733720400198,2024-12-09T05:00:00.198Z,2.561017e-4,168.26
1733724000146,2024-12-09T06:00:00.146Z,1.525270e-4,100.21
1733727600101,2024-12-09T07:00:00.101Z,2.883271e-4,189.43
1733731200100,2024-12-09T08:00:00.100Z,3.177819e-4,208.78
1733734800176,2024-12-09T09:00:00.176Z,1.550499e-4,101.87
1733738400052,2024-12-09T10:00:00.052Z,1.452606e-4,95.44
1733742000007,2024-12-09T11:00:00.007Z,1.110349e-4,72.95
1733745600009,2024-12-09T12:00:00.009Z,2.537645e-4,166.72
1733749200000,2024-12-09T13:00:00.000Z,1.250000e-5,8.21
1733752800014,2024-12-09T14:00:00.014Z,1.250000e-5,8.21
1733756400126,2024-12-09T15:00:00.126Z,1.269443e-4,83.40
1733760000113,2024-12-09T16:00:00.113Z,1.165158e-4,76.55
1733763600146,2024-12-09T17:00:00.146Z,1.606430e-4,105.54
1733767200000,2024-12-09T18:00:00.000Z,8.660620e-5,56.90
1733770800128,2024-12-09T19:00:00.128Z,6.623200e-5,43.51
1733774400064,2024-12-09T20:00:00.064Z,3.885278e-4,255.26
1733778000032,2024-12-09T21:00:00.032Z,1.293559e-4,84.99
1733781600074,2024-12-09T22:00:00.074Z,5.864271e-4,385.28
1733785200012,2024-12-09T23:00:00.012Z,2.228844e-4,146.44
1733788800013,2024-12-10T00:00:00.013Z,3.557955e-4,233.76
1733792400014,2024-12-10T01:00:00.014Z,3.268182e-4,214.72
1733796000013,2024-12-10T02:00:00.013Z,1.404686e-4,92.29
1733799600066,2024-12-10T03:00:00.066Z,2.471720e-5,16.24
1733803200108,2024-12-10T04:00:00.108Z,9.295030e-5,61.07
1733806800113,2024-12-10T05:00:00.113Z,1.250000e-5,8.21
1733810400107,2024-12-10T06:00:00.107Z,1.250000e-5,8.21
1733814000027,2024-12-10T07:00:00.027Z,9.612170e-5,63.15
1733817600115,2024-12-10T08:00:00.115Z,1.250000e-5,8.21
1733821200036,2024-12-10T09:00:00.036Z,1.250000e-5,8.21
1733824800027,2024-12-10T10:00:00.027Z,5.238560e-5,34.42
1733828400145,2024-12-10T11:00:00.145Z,1.250000e-5,8.21
1733832000107,2024-12-10T12:00:00.107Z,4.733690e-5,31.10
1733835600179,2024-12-10T13:00:00.179Z,1.250000e-5,8.21
1733839200083,2024-12-10T14:00:00.083Z,1.250000e-5,8.21
1733842800055,2024-12-10T15:00:00.055Z,1.250000e-5,8.21
1733846400157,2024-12-10T16:00:00.157Z,6.846390e-5,44.98
1733850000188,2024-12-10T17:00:00.188Z,5.592294e-4,367.41
1733853600201,2024-12-10T18:00:00.201Z,3.542396e-4,232.74
1733857200191,2024-12-10T19:00:00.191Z,2.093502e-4,137.54
1733860800011,2024-12-10T20:00:00.011Z,2.758421e-4,181.23
1733864400102,2024-12-10T21:00:00.102Z,2.226988e-4,146.31
1733868000130,2024-12-10T22:00:00.130Z,1.251263e-4,82.21
1733871600073,2024-12-10T23:00:00.073Z,1.250000e-5,8.21
1733875200086,2024-12-11T00:00:00.086Z,1.250000e-5,8.21
1733878800036,2024-12-11T01:00:00.036Z,1.250000e-5,8.21
1733882400011,2024-12-11T02:00:00.011Z,1.583481e-4,104.03
1733886000069,2024-12-11T03:00:00.069Z,4.751950e-5,31.22
1733889600039,2024-12-11T04:00:00.039Z,2.010830e-5,13.21
1733893200032,2024-12-11T05:00:00.032Z,1.250000e-5,8.21
1733896800021,2024-12-11T06:00:00.021Z,9.744170e-5,64.02
1733900400003,2024-12-11T07:00:00.003Z,2.758326e-4,181.22
1733904000007,2024-12-11T08:00:00.007Z,1.188633e-4,78.09
1733907600128,2024-12-11T09:00:00.128Z,5.311420e-5,34.90
1733911200108,2024-12-11T10:00:00.108Z,1.085984e-4,71.35
1733914800000,2024-12-11T11:00:00.000Z,7.622320e-5,50.08
1733918400193,2024-12-11T12:00:00.193Z,1.250000e-5,8.21
1733922000031,2024-12-11T13:00:00.031Z,1.250000e-5,8.21
1733925600003,2024-12-11T14:00:00.003Z,1.576002e-4,103.54
1733929200192,2024-12-11T15:00:00.192Z,1.627220e-4,106.91
1733932800151,2024-12-11T16:00:00.151Z,2.808545e-4,184.52
1733936400022,2024-12-11T17:00:00.022Z,1.861510e-5,12.23
1733940000038,2024-12-11T18:00:00.038Z,1.250000e-5,8.21
1733943600006,2024-12-11T19:00:00.006Z,1.250000e-5,8.21
1733947200089,2024-12-11T20:00:00.089Z,1.250000e-5,8.21
1733950800070,2024-12-11T21:00:00.070Z,1.250000e-5,8.21
1733954400004,2024-12-11T22:00:00.004Z,3.538140e-5,23.25
1733958000152,2024-12-11T23:00:00.152Z,2.058405e-4,135.24
1733961600095,2024-12-12T00:00:00.095Z,2.258318e-4,148.37
1733965200011,2024-12-12T01:00:00.011Z,2.031291e-4,133.46
1733968800142,2024-12-12T02:00:00.142Z,1.250000e-5,8.21
1733972400041,2024-12-12T03:00:00.041Z,7.109880e-5,46.71
1733976000070,2024-12-12T04:00:00.070Z,1.730470e-4,113.69
1733979600090,2024-12-12T05:00:00.090Z,3.986207e-4,261.89
1733983200187,2024-12-12T06:00:00.187Z,4.095349e-4,269.06
1733986800040,2024-12-12T07:00:00.040Z,5.716710e-5,37.56
1733990400130,2024-12-12T08:00:00.130Z,5.521775e-4,362.78
1733994000031,2024-12-12T09:00:00.031Z,4.837181e-4,317.80
1733997600113,2024-12-12T10:00:00.113Z,1.451586e-4,95.37
1734001200012,2024-12-12T11:00:00.012Z,5.068520e-5,33.30
1734004800116,2024-12-12T12:00:00.116Z,1.250000e-5,8.21
1734008400186,2024-12-12T13:00:00.186Z,1.099253e-4,72.22
1734012000153,2024-12-12T14:00:00.153Z,2.860245e-4,187.92
1734015600002,2024-12-12T15:00:00.002Z,4.939279e-4,324.51
1734019200005,2024-12-12T16:00:00.005Z,1.759595e-4,115.61
1734022800130,2024-12-12T17:00:00.130Z,2.346070e-4,154.14
1734026400057,2024-12-12T18:00:00.057Z,1.283339e-4,84.32
1734030000002,2024-12-12T19:00:00.002Z,8.622570e-5,56.65
1734033600078,2024-12-12T20:00:00.078Z,6.059480e-5,39.81
1734037200092,2024-12-12T21:00:00.092Z,1.250000e-5,8.21
1734040800068,2024-12-12T22:00:00.068Z,8.001670e-5,52.57
1734044400199,2024-12-12T23:00:00.199Z,2.825500e-5,18.56
1734048000007,2024-12-13T00:00:00.007Z,4.578620e-5,30.08
1734051600006,2024-12-13T01:00:00.006Z,6.439840e-5,42.31
1734055200142,2024-12-13T02:00:00.142Z,1.431265e-4,94.03
1734058800132,2024-12-13T03:00:00.132Z,9.113960e-5,59.88
1734062400122,2024-12-13T04:00:00.122Z,1.374158e-4,90.28
1734066000160,2024-12-13T05:00:00.160Z,5.028240e-5,33.04
1734069600174,2024-12-13T06:00:00.174Z,1.250000e-5,8.21
1734073200029,2024-12-13T07:00:00.029Z,1.250000e-5,8.21
1734076800029,2024-12-13T08:00:00.029Z,1.250000e-5,8.21
1734080400139,2024-12-13T09:00:00.139Z,1.250000e-5,8.21
1734084000090,2024-12-13T10:00:00.090Z,1.250000e-5,8.21
